id,n_explotacion,cuenta,superficie,superficie_bpa,tecnificacion,sistematizacion_con_terrazas,rotacion_gramineas_y_cultivos_de_servicios,pasturas_implantadas,participacion_grupos_asociativos,nutricion_de_suelos,manejo_cultivos_intensivos,certificaciones,capacitacion,ag_tech,plan_pecuario,manejo_ganaderia_integrada,indic_agro,gestion_de_riesgo,eje_persona,eje_planeta,eje_prosperidad,total
bpa2019.1,ESTABLECIMIENTO SANTA ROSA S.R.L.,300101606906,9.74,9.74,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.2,Campo Peretti N,300201547575,28.69,28.69,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.3,SAN AGUSTIN,300121350118,0.45,0.45,si,,,,,,,,,,,,,,no,no,si,1
bpa2019.4,TC 83 - CARRARI,251101248031,262.5,262.5,,,,,,,,,,si,,,,,no,no,si,1
bpa2019.5,La Margarita,360423617493,248.37,150,,si,,,,,,,,,,,,,no,si,no,1
bpa2019.6,BONFIGLI,270601367405,48.75,47.5,,,,,,,,,si,,,,,,si,no,no,1
bpa2019.7,isla verde,360302080395,17.42,17,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.8,Don Lorenzo,300623497902,234.34,234.34,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.9,CASCO,310401706266,10.69,3,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.10,Las chacras,360316752256,79.84,78,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.11,EL NONO,240640105446,34.45,34.45,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.12,GUERREROS,310428020731,15.41,15,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.13,PUCHETTA,360101756374,64.39,62,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.14,CAMPO EL ARENAL,300601656951,14.31,14.31,,,,si,,,,,,,,,,,no,si,no,1
bpa2019.15,La Celeste Morrison,360215294796,34.63,34.63,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.16,CAMPO MASAGLIA,330103107962,176.92,170,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.17,La Maria,360418229299,192.59,192.59,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.18,LA COCO,360423638610,684.46,385,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.19,NORTE,251041692912,5.85,5.8,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.20,Ceredin,360423638733,16.74,16.74,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.21,ANA/JOSÉ,190106199209,128.7,128.7,,,,si,,,,,,,,,,,no,si,no,1
bpa2019.22,Campo Scienza,130340585535,48.39,48.39,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.23,la Mercantil,270520331741,122.5,122.5,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.24,EL NONO,240640310589,33.31,16.65,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.25,El cometa S.R.L.,300141058618,19.15,19,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.26,LOS HELENOS,270201394357,155,155,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.27,El Cometa,270901316241,20,20,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.28,INDIO MUERTO,360412298531,50,50,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.29,DRUETTA,360404236586,29.94,20,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.30,Garabato,340301959643,115.65,115.65,,,,si,,,,,,,,,,,no,si,no,1
bpa2019.31,1,300501468944,154.2,154,,,,,,,,,si,,,,,,si,no,no,1
bpa2019.32,GRANDE,310401708528,9.2,9,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.33,Liwen Mapu,240142097053,52.75,52,,,,,,,,,,,si,,,,no,si,no,1
bpa2019.34,Establecimiento La Chacha,360504499215,0,0,,,,,,,,,,,si,,,,no,si,no,1
bpa2019.35,Grande,170111755526,380,189,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.36,Campo Villa Maria,160441129901,2.44,2,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.37,LA ÑATITA,180300782327,250.94,112.5,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.38,La Masseratta,220302139075,186.17,140,,,,si,,,,,,,,,,,no,si,no,1
bpa2019.39,Casado,180300794252,70.28,70,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.40,LA MATILDE,360302087292,40,40,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.41,ABREGO,270104149461,22.86,22.86,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.42,340,270627321161,164.92,160,,,,,,,,,si,,,,,,si,no,no,1
bpa2019.43,MIGUEL.2019,300416907734,261.29,98,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.44,CAMPO ALEGRE,340204213190,72.78,72.77,,,,,,,,,si,,,,,,si,no,no,1
bpa2019.45,lote 17,310417541551,12.92,9.65,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.46,""" La Pintada""",260304146356,128,100,,,,,,,,,si,,,,,,si,no,no,1
bpa2019.47,HACHA 1,130300601902,23.81,23.8,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.48,Don Pedro,150115740298,92.06,92.06,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.49,TC 83 - CARRARI,130309707487,4.55,4.55,,,,,,,,,,si,,,,,no,no,si,1
bpa2019.50,CAGNOLO,190306161788,127.27,43,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.51,pesci / cagnolo,190306161788,127.27,47,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.52,Marino Juan Carlos,240119304076,113.72,113.72,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.53,TC 47 - PUERTA,251117227793,7.88,7.88,,,,,,,,,,si,,,,,no,no,si,1
bpa2019.54,EL CARMEN 20 HECTAREAS,360302089058,114.33,20,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.55,ARANDA,340220976411,60.38,44,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.56,CAMPO ISSOGLIO,300201544339,674.12,655.2,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.57,campo di pietro miriam del carmen,190500957534,9.4,9.4,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.58,Campo Ferrero,251001285435,23,23,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.59,Ulla,300602903323,126.68,126.68,,,,,,,,,,si,,,,,no,no,si,1
bpa2019.60,SCARABELLI,190600841169,21.14,21,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.61,ORTIZ,190605274611,80.41,40,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.62,El cometa S.R.L.,300103143041,26.2,26,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.63,DON LITO I,250602891808,6.62,6.6,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.64,El Cometa,270901316209,29.87,29.87,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.65,DON LITO 2,250605985200,27.38,27.37,,,,si,,,,,,,,,,,no,si,no,1
bpa2019.66,La Celeste Morrison,360215294842,3.81,3.81,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.67,campo di pietro miriam del carmen,190500957542,3.08,3.08,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.68,La Julia W,220340005350,391.6,328,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.69,CERUTTI,300103848621,14.35,14.35,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.70,SERENO SEBASTIAN GABRIEL,300202616643,158.29,17.69,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.71,San Gabriel (10ha),340202505690,10,10,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.72,La Vanguardia,350541340123,194.02,170,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.73,FAVRE NELSON,190619697093,38.01,38.01,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.74,TC 43 - SOLER,251104638522,21,21,,,,,,,,,,si,,,,,no,no,si,1
bpa2019.75,ESTABLECIMIENTO SANTA ROSA S.R.L.,300104646593,4.63,4.63,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.76,LA CARMELITA,160101947138,431.25,431.25,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.77,El Eric/ Murcia,190302346741,21.92,21.92,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.78,AEROCLUB 1,300240852369,16.06,16,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.79,lote 18,310418595778,12.91,9.65,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.80,El cometa S.R.L.,300122372115,133.43,133,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.81,REBUFATTI,330222616867,171.06,30,,,,,,,,,,si,,,,,no,no,si,1
bpa2019.82,DON RENE,360404487341,108.88,108,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.83,ANA/JOSÉ,360202472628,61.31,61.31,,,,si,,,,,,,,,,,no,si,no,1
bpa2019.84,CAMPO ALEGRE,340203994686,317.15,317.13,,,,,,,,,si,,,,,,si,no,no,1
bpa2019.85,LA GLORIA,360416759045,127.9,127.9,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.86,Masera,300202197292,40.48,14,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.87,Campo Alberto,300225971271,92.49,92.49,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.88,Camilo Aldao,190521743879,314.96,100,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.89,El Jardin,220302138192,113.3,70,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.90,Campo Spaccesi,330103649145,16.98,16.98,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.91,CASCO,310405081520,19.77,7,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.92,JOSE 105,190621700832,21.43,21,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.93,La Elsita,190240726533,54.71,54.71,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.94,El Escalon,240522497780,67.95,67.95,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.95,EL MARTILLO,160501841339,316.8,110,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.96,bodo,180200777091,49.59,49.5,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.97,CAMPO PERUCCA,330541219447,27.61,17.73,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.98,Tambo,300602202848,32.99,32.99,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.99,Campo Pocholo,270602891523,11.71,11,,,,,si,,,,,,,,,,si,no,no,1
bpa2019.100,TAMBO,300216499330,133.33,133.33,,,,,,,,,,,,,si,,si,no,no,1
bpa2019.101,LAS ARGANAS,250402366946,331,267,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.102,LA CHACRA DE CUARTO,190400875794,42.21,42.21,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.103,CERUTTI,300106526731,2.19,2.19,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.104,RIOS,360425731579,16.96,10,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.105,LUCA 33,270617249003,33.07,31,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.106,M.A.F.F.  S.A.,190505299152,9.1,9.1,,,,,,,,,si,,,,,,si,no,no,1
bpa2019.107,La Pichona,240609640457,222.08,222.08,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.108,50 regino,310401713262,50.03,50.02,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.109,Ulla,300601651908,57.98,57.98,,,,,,,,,,si,,,,,no,no,si,1
bpa2019.110,La Escuelita,360502791091,8.33,6,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.111,CASAS,250103064551,93,92,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.112,Devoto,300202584041,75.95,75,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.113,Campo Mattaldi,150400698980,102.56,51,,,,,,si,,,,,,,,,no,si,no,1
bpa2019.114,sin nombre,300101610393,62.5,62.5,,,,si,,,,,,,,,,,no,si,no,1
bpa2019.115,NORTE,251041692904,19.15,19,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.116,SUSANA SODANO,240603757328,194.11,95,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.117,nestor/ruben  colonia caroya,130226058002,14.31,14,,,si,,,,,,,,,,,,no,si,no,1
bpa2019.118,TC 102 - HEREDIA,251127312101,35.5,35.5,,,,,,,,,,si,,,,,no,no,si,1
