Año,activa,ag_tech,agricultura_de_precision,bioinsumos,bpa_total,caminos_rurales,capacitacion,certificaciones,cuenta,economia_circular,efic_energ_y_energia_renov,eje_alianza,eje_persona,eje_planeta,eje_prosperidad,geometry,gestion_de_riesgo,id,indic_agro,integ_comunidad,manejo_de_cultivo_int,manejo_ganaderia_integrada,n_explotacion,nutricion_suelo,participacion_grup_asociativo,pasturas_implantadas,plan_pecuario,polinizacion,responsabilidad_social,rotacion_gramineas,sistema_terraza,superficie,superficie_bpa,tecn_pecuaria,tranqueras_abiertas,trazabilidad,centroide_proj,lon,lat,departamen,localidad
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,130217732809,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4391145.25291988 6571187.571097154),No reportado,bpa2020.38,No reportado,No reportado,No reportado,No reportado,La Lonja,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,287.700000,228.000000,No reportado,No reportado,No reportado,POINT (4391145.259915859 6571187.570222551),-64.139673,-30.993202,COLON,ESTACION CAROYA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,130217732809,No reportado,No reportado,No reportado,si,No reportado,No reportado,POINT (4391145.25291988 6571187.571097154),No reportado,bpa2020.38,No reportado,No reportado,No reportado,No reportado,La Lonja,No reportado,si,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,287.700000,228.000000,No reportado,No reportado,No reportado,POINT (4391145.259915859 6571187.570222551),-64.139673,-30.993202,COLON,JESUS MARIA
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,130315044805,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4392838.078034203 6550515.928005886),No reportado,bpa2020.64,No reportado,No reportado,No reportado,No reportado,Panci Operman,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,25.050000,25.000000,No reportado,No reportado,No reportado,POINT (4392838.068415822 6550515.893003819),-64.124145,-31.179769,COLON,GENERAL PAZ
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,130319472160,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4399789.500046405 6533533.29281291),No reportado,bpa2020.81,No reportado,No reportado,No reportado,No reportado,SAC 21,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,21.810000,21.000000,No reportado,No reportado,No reportado,POINT (4399789.463962093 6533533.298017358),-64.052933,-31.333530,COLON,MALVINAS ARGENTINAS
2020-01-01,0,No reportado,No reportado,No reportado,1,No reportado,No reportado,No reportado,130319472160,No reportado,No reportado,No reportado,No reportado,si,No reportado,POINT (4399789.500046405 6533533.29281291),No reportado,bpa2020.81,No reportado,No reportado,No reportado,No reportado,SAC 21,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,si,No reportado,21.810000,21.000000,No reportado,No reportado,No reportado,POINT (4399789.463962093 6533533.298017358),-64.052933,-31.333530,COLON,MI GRANJA
2020-01-01,0,No reportado,si,No reportado,1,No reportado,No reportado,No reportado,130324328476,No reportado,No reportado,No reportado,No reportado,No reportado,si,POINT (4390771.817103263 6536827.368300654),No reportado,bpa2020.107,No reportado,No reportado,No reportado,No reportado,GHELLI,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,18.400000,18.000000,No reportado,No reportado,No reportado,POINT (4390771.802601694 6536827.42297879),-64.147308,-31.303014,COLON,GUIÑAZU
2020-01-01,0,No reportado,si,No reportado,1,No reportado,No reportado,No reportado,130324328476,No reportado,No reportado,No reportado,No reportado,No reportado,si,POINT (4390771.817103263 6536827.368300654),No reportado,bpa2020.107,No reportado,No reportado,No reportado,No reportado,GHELLI,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,18.400000,18.000000,No reportado,No reportado,No reportado,POINT (4390771.802601694 6536827.42297879),-64.147308,-31.303014,COLON,VILLA LOS LLANOS
2020-01-01,0,No reportado,si,No reportado,1,No reportado,No reportado,No reportado,130324328476,No reportado,No reportado,No reportado,No reportado,No reportado,si,POINT (4390771.817103263 6536827.368300654),No reportado,bpa2020.107,No reportado,No reportado,No reportado,No reportado,GHELLI,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,18.400000,18.000000,No reportado,No reportado,No reportado,POINT (4390771.802601694 6536827.42297879),-64.147308,-31.303014,COLON,JUAREZ CELMAN
2020-01-01,0,No reportado,si,No reportado,1,No reportado,No reportado,No reportado,130316859004,No reportado,No reportado,No reportado,No reportado,No reportado,si,POINT (4390339.061973426 6536688.670829211),No reportado,bpa2020.133,No reportado,No reportado,No reportado,No reportado,GIORDANO,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,35.050000,35.000000,No reportado,No reportado,No reportado,POINT (4390339.02688842 6536688.724193449),-64.151868,-31.304224,COLON,GUIÑAZU
2020-01-01,0,No reportado,si,No reportado,1,No reportado,No reportado,No reportado,130316859004,No reportado,No reportado,No reportado,No reportado,No reportado,si,POINT (4390339.061973426 6536688.670829211),No reportado,bpa2020.133,No reportado,No reportado,No reportado,No reportado,GIORDANO,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,No reportado,35.050000,35.000000,No reportado,No reportado,No reportado,POINT (4390339.02688842 6536688.724193449),-64.151868,-31.304224,COLON,VILLA LOS LLANOS
